K,group,sites,A_airframe,B_airframe,C_airframe,A_battery,B_battery,C_battery,relay_airframe,relay_energy,transport_sorties,relay_sorties,shared_relay_missions,site_count,sortie_count,transport_flight_time_s,box_count,relay_time_s,transport_energy_kwh,relay_energy_kwh,cargo_mass_kg,transport_flight_time_mean_s,transport_flight_time_min_s,transport_flight_time_max_s,transport_flight_time_cv,relay_service_time_mean_s,relay_service_time_min_s,relay_service_time_max_s,relay_service_time_cv,sortie_count_mean,sortie_count_min,sortie_count_max,sortie_count_cv,box_count_mean,box_count_min,box_count_max,box_count_cv,transport_energy_kwh_mean,transport_energy_kwh_min,transport_energy_kwh_max,transport_energy_kwh_cv,relay_energy_kwh_mean,relay_energy_kwh_min,relay_energy_kwh_max,relay_energy_kwh_cv,cargo_mass_kg_mean,cargo_mass_kg_min,cargo_mass_kg_max,cargo_mass_kg_cv
2,1,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015",4,2,2,6,4,4,2,3,"P00009,P00010,P00011,P00014,P00020,P00024,P00026,P00028,P00030,P00032,P00035,P00037,P00040,P00041,P00044,P00057,P00071,P00089,P00107,P00137,P00140,P00143,P00146,P00272,P00275,P00278","RU-001,RU-002,RU-003",0,14,26,35222.39001215245,77,8119.669319931451,68.98142050744123,3.464578140397504,733.0,18011.010408358467,799.6308045644855,35222.39001215245,0.9556032234486193,4059.8346599657257,0,8119.669319931451,1.0,13.5,1,26,0.9259259259259259,40.0,3,77,0.925,35.0292833228156,1.0771461381899774,68.98142050744123,0.969250123439197,1.732289070198752,0,3.464578140397504,1.0,379.0,25.0,733.0,0.9340369393139841
2,2,S011,0,1,0,0,1,0,0,0,P00018,,0,1,1,799.6308045644855,3,0,1.0771461381899774,0,25.0,18011.010408358467,799.6308045644855,35222.39001215245,0.9556032234486193,4059.8346599657257,0,8119.669319931451,1.0,13.5,1,26,0.9259259259259259,40.0,3,77,0.925,35.0292833228156,1.0771461381899774,68.98142050744123,0.969250123439197,1.732289070198752,0,3.464578140397504,1.0,379.0,25.0,733.0,0.9340369393139841
3,1,"S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015",4,2,2,6,4,4,2,3,"P00009,P00010,P00014,P00020,P00024,P00026,P00028,P00030,P00032,P00035,P00037,P00040,P00041,P00044,P00057,P00071,P00089,P00107,P00137,P00140,P00143,P00146,P00272,P00275,P00278","RU-001,RU-002,RU-003",0,13,25,34141.52612687848,71,8119.669319931451,66.38748557311625,3.464578140397504,674.0,12007.340272238975,799.6308045644855,34141.52612687848,1.303507160666351,2706.5564399771506,0,8119.669319931451,1.414213562373095,9.0,1,25,1.257078722109418,26.666666666666668,3,71,1.1764618565852443,23.352855548543733,1.0771461381899774,66.38748557311625,1.303325769675376,1.1548593801325013,0,3.464578140397504,1.4142135623730947,252.66666666666666,25.0,674.0,1.1804122424004073
3,2,S006,0,0,1,0,0,1,0,0,P00011,,0,1,1,1080.8638852739632,6,0,2.593934934324972,0,59.0,12007.340272238975,799.6308045644855,34141.52612687848,1.303507160666351,2706.5564399771506,0,8119.669319931451,1.414213562373095,9.0,1,25,1.257078722109418,26.666666666666668,3,71,1.1764618565852443,23.352855548543733,1.0771461381899774,66.38748557311625,1.303325769675376,1.1548593801325013,0,3.464578140397504,1.4142135623730947,252.66666666666666,25.0,674.0,1.1804122424004073
3,3,S011,0,1,0,0,1,0,0,0,P00018,,0,1,1,799.6308045644855,3,0,1.0771461381899774,0,25.0,12007.340272238975,799.6308045644855,34141.52612687848,1.303507160666351,2706.5564399771506,0,8119.669319931451,1.414213562373095,9.0,1,25,1.257078722109418,26.666666666666668,3,71,1.1764618565852443,23.352855548543733,1.0771461381899774,66.38748557311625,1.303325769675376,1.1548593801325013,0,3.464578140397504,1.4142135623730947,252.66666666666666,25.0,674.0,1.1804122424004073
