运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00137,leg1-climb,330.0,339.6904406738281,直连,,54.80497750786803,122.0
P00146,leg1-climb,330.0,339.6904406738281,直连,,54.80497750786803,122.0
P00137,leg1-climb,339.6904406738281,349.38088134765627,直连,,67.51503459175112,122.0
P00146,leg1-climb,339.6904406738281,349.38088134765627,直连,,67.51503459175112,122.0
P00137,leg1-climb,349.38088134765627,359.0713220214844,直连,,74.48686069242545,122.0
P00146,leg1-climb,349.38088134765627,359.0713220214844,直连,,74.48686069242545,122.0
P00137,leg1-climb,359.0713220214844,368.76176269531254,直连,,78.30394043774606,122.0
P00146,leg1-climb,359.0713220214844,368.76176269531254,直连,,78.30394043774606,122.0
P00137,leg1-climb,368.76176269531254,378.45220336914065,直连,,80.94666213903065,122.0
P00146,leg1-climb,368.76176269531254,378.45220336914065,直连,,80.94666213903065,122.0
P00137,leg1-cruise,378.45220336914065,388.2708294149384,直连,,82.88383902694989,122.0
P00146,leg1-cruise,378.45220336914065,388.2708294149384,直连,,82.88383902694989,122.0
P00107,leg1-climb,382.5214399762144,391.5708341005634,直连,,56.2129160027533,122.0
P00137,leg1-cruise,388.2708294149384,398.0894554607362,直连,,86.77063365844988,122.0
P00146,leg1-cruise,388.2708294149384,398.0894554607362,直连,,86.77063365844988,122.0
P00024,leg1-climb,390.0,399.6718205769857,直连,,54.84926104563459,122.0
P00107,leg1-climb,391.5708341005634,400.62022822491235,直连,,66.38297288678419,122.0
P00137,leg1-cruise,398.0894554607362,407.90808150653396,直连,,90.16068595088801,122.0
P00146,leg1-cruise,398.0894554607362,407.90808150653396,直连,,90.16068595088801,122.0
P00024,leg1-climb,399.6718205769857,409.34364115397136,直连,,67.48415012187199,122.0
P00107,leg1-climb,400.62022822491235,409.6696223492613,直连,,73.65557611128986,122.0
P00137,leg1-cruise,407.90808150653396,417.72670755233173,直连,,92.74417043864779,122.0
P00146,leg1-cruise,407.90808150653396,417.72670755233173,直连,,92.74417043864779,122.0
P00024,leg1-climb,409.34364115397136,419.01546173095704,直连,,74.46380373438195,122.0
P00107,leg1-climb,409.6696223492613,418.7190164736103,直连,,77.55760837078127,122.0
P00137,leg1-cruise,417.72670755233173,427.5453335981295,直连,,94.77944721369933,122.0
P00146,leg1-cruise,417.72670755233173,427.5453335981295,直连,,94.77944721369933,122.0
P00107,leg1-climb,418.7190164736103,427.76841059795925,直连,,80.24042241053876,122.0
P00024,leg1-climb,419.01546173095704,428.6872823079427,直连,,78.283142532026,122.0
P00137,leg1-cruise,427.5453335981295,437.3639596439273,直连,,96.44576962711744,122.0
P00146,leg1-cruise,427.5453335981295,437.3639596439273,直连,,96.44576962711744,122.0
P00107,leg1-climb,427.76841059795925,436.81780472230815,直连,,82.2872031221879,122.0
P00057,leg1-climb,428.6607964974155,438.5139548320008,直连,,54.40807167059783,122.0
P00024,leg1-climb,428.6872823079427,438.3591028849284,直连,,80.92693785901753,122.0
P00107,leg1-climb,436.81780472230815,445.8671988466571,直连,,83.94246818974946,122.0
P00137,leg1-cruise,437.3639596439273,447.1825856897251,直连,,97.8520566432842,122.0
P00146,leg1-cruise,437.3639596439273,447.1825856897251,直连,,97.8520566432842,122.0
P00024,leg1-climb,438.3591028849284,448.0309234619141,直连,,82.95100231144117,122.0
P00057,leg1-climb,438.5139548320008,448.3671131665862,直连,,67.78035528500507,122.0
P00107,leg1-climb,445.8671988466571,454.9165929710061,直连,,85.33221615138905,122.0
P00020,leg1-climb,446.55361723703527,456.0736503994702,直连,,55.20206987342256,122.0
P00137,leg1-cruise,447.1825856897251,457.0012117355228,直连,,99.06671421641943,122.0
P00146,leg1-cruise,447.1825856897251,457.0012117355228,直连,,99.06671421641943,122.0
P00024,leg1-climb,448.0309234619141,457.70274403889977,直连,,84.59140206329432,122.0
P00057,leg1-climb,448.3671131665862,458.2202715011715,直连,,74.68578862985206,122.0
P00107,leg1-climb,454.9165929710061,463.96598709535505,直连,,86.52997009376686,122.0
P00020,leg1-climb,456.0736503994702,465.5936835619051,直连,,67.22820357699511,122.0
P00137,leg1-cruise,457.0012117355228,466.81983778132064,直连,,100.13484872048119,122.0
P00146,leg1-cruise,457.0012117355228,466.81983778132064,直连,,100.13484872048119,122.0
P00024,leg1-climb,457.70274403889977,467.37456461588545,直连,,85.9706652946353,122.0
P00057,leg1-climb,458.2202715011715,468.0734298357569,直连,,78.48360120781685,122.0
P00107,leg1-climb,463.96598709535505,473.015381219704,直连,,87.58239599079008,122.0
P00020,leg1-climb,465.5936835619051,475.11371672433995,直连,,74.27352924398483,122.0
P00137,leg1-cruise,466.81983778132064,476.6384638271184,直连,,101.08755538491656,122.0
