K,group,task_type,task_id
2,1,transport,P00002
2,1,transport,P00009
2,1,transport,P00010
2,1,transport,P00011
2,1,transport,P00014
2,1,transport,P00020
2,1,transport,P00024
2,1,transport,P00026
2,1,transport,P00028
2,1,transport,P00030
2,1,transport,P00032
2,1,transport,P00037
2,1,transport,P00040
2,1,transport,P00041
2,1,transport,P00044
2,1,transport,P00057
2,1,transport,P00071
2,1,transport,P00089
2,1,transport,P00107
2,1,transport,P00128
2,1,transport,P00131
2,1,transport,P00134
2,1,transport,P00137
2,1,transport,P00272
2,1,transport,P00275
2,1,transport,P00278
2,1,relay,RU-001
2,1,relay,RU-002
2,1,relay,RU-003
2,1,relay,RU-004
2,2,transport,P00018
3,1,transport,P00002
3,1,transport,P00009
3,1,transport,P00010
3,1,transport,P00014
3,1,transport,P00020
3,1,transport,P00024
3,1,transport,P00026
3,1,transport,P00028
3,1,transport,P00030
3,1,transport,P00032
3,1,transport,P00037
3,1,transport,P00040
3,1,transport,P00041
3,1,transport,P00044
3,1,transport,P00057
3,1,transport,P00071
3,1,transport,P00089
3,1,transport,P00107
3,1,transport,P00128
3,1,transport,P00131
3,1,transport,P00134
3,1,transport,P00137
3,1,transport,P00272
3,1,transport,P00275
3,1,transport,P00278
3,1,relay,RU-001
3,1,relay,RU-002
3,1,relay,RU-003
3,1,relay,RU-004
3,2,transport,P00011
3,3,transport,P00018
